StandID,StandCN
10018,142283
10022,85711
10024,84945
10030,136223
10034,86601
10040,146714
10051,142331
10052,131025
10064,136223
10074,142283
10186,135739
10202,95357
10213,88754
10218,142434
10253,88759
10286,22757
10315,150845
10321,85679
10330,86601
10349,150845
10350,95357
10358,27848
10372,27788
10373,27848
10383,150845
10389,136860
10394,10683
10397,146233
10403,89778
10404,88759
10407,84877
10409,18629
10412,150845
10415,84877
10419,84877
10424,18518
10425,88078
10426,84877
10428,84877
10432,18629
10437,95232
10439,150845
10441,10597
10442,88759
10445,18525
10449,142374
10452,85679
10458,27788
10462,10683
10467,150693
10475,27788
10476,142434
10478,27850
10480,142434
10482,22757
10484,27824
10485,85360
10487,146629
10489,150845
10492,19097
10499,27824
10848,146558
10912,146659
10937,90512
10967,146659
10974,142535
10987,146813
11014,89371
1102,86635
11023,146397
1104,89773
11045,85374
1105,132993
11062,146689
11080,146397
11106,87639
1111,132010
1113,134216
1115,150513
1117,84816
1118,86188
1121,88772
1122,128791
11257,86079
1126,134202
1127,132010
11274,129535
11276,129535
11277,86079
11288,129535
11292,142477
11295,129535
1130,150513
11310,86079
1133,136129
1134,128791
11388,146397
11389,146407
1139,129288
11399,142535
1141,150513
11416,85374
11432,90851
11438,135844
1144,134379
1147,142155
1149,132993
1152,142145
1154,150513
1156,146279
1163,133458
1164,132010
1168,128791
1170,150513
1171,85625
1180,86635
1181,132993
1185,146279
1189,86635
1191,86635
1194,84623
1208,19226
1214,88772
1218,142301
1241,86635
1246,86635
1258,142155
1260,86635
1262,28100
1273,133458
1276,28100
1279,89233
1280,89233
1284,86601
1288,19226
1305,141997
1308,84970
1314,89764
1319,136337
1320,87762
1322,89764
1347,89764
1352,18518
1356,85135
1366,84970
1368,84643
1378,90383
1382,18517
1390,84970
1396,141997
1402,22757
1403,87762
1419,141997
1440,150184
1445,135080
1446,87762
1448,135080
1450,135080
1458,87290
1468,150543
1471,142096
1475,150446
1480,150543
1485,150446
1489,86349
1496,128791
1498,150543
1502,135291
1504,150543
1515,146304
1530,150543
1531,133740
1537,146279
1549,87861
1551,87861
1560,142096
2721,134129
2726,150834
2738,89720
2746,146629
2754,131553
2755,146629
2757,142532
2759,132380
2760,146629
2762,86601
2763,134996
2767,150834
5180,28117
5186,86601
5187,150834
5192,146629
5194,146629
5199,146714
5202,88226
5210,136243
5214,142283
5219,85711
5220,86601
5231,146629
5232,150834
5236,89233
5238,88226
5241,86601
5251,146628
5253,150834
5255,146629
5260,84945
5269,150834
5286,84945
5289,89852
5293,85711
5295,146714
5297,88226
5299,89720
5305,86601
5307,150834
5308,146714
5309,136243
5314,150834
5316,146448
5322,142390
5328,86601
5333,88226
5338,146629
5341,89708
5344,146714
5345,85634
5348,150834
5354,150834
5362,150834
5364,90696
5372,134996
5374,86601
5375,146714
5378,89852
5381,136243
5401,146629
5402,146714
5404,146714
5406,85711
5411,146629
5413,86601
5414,142532
5415,134996
5426,86601
5430,86601
5431,142283
5437,150834
5438,88438
5441,88226
5447,150834
5448,150834
5453,132380
5460,86503
5471,146629
5480,86601
5488,84945
5489,146629
5490,150834
5492,85634
5497,146629
5509,90951
5535,19173
5539,146741
5542,146628
5549,136243
5557,88226
5568,142434
5573,127418
5575,142573
5580,28117
5583,142283
5584,95157
5585,88226
5587,89714
5594,146741
5595,88918
5597,19173
5598,142532
5603,88226
5604,146629
5611,85634
5613,89714
5621,131949
5622,146714
5631,19062
5640,84945
5647,146714
5668,146629
5670,90951
5672,142532
5686,19173
5690,85625
5706,132435
5707,28117
5711,146760
5713,146741
5715,88226
5724,90951
5727,88226
5729,87856
5738,146714
5741,90951
5742,146760
5753,19171
5758,146741
5759,90951
5770,19171
5786,142516
5791,127636
5796,88226
5797,86170
5801,86170
5802,146741
5803,28117
5812,134724
5816,131744
5823,150845
5828,146741
5833,88226
5835,88918
5839,88007
5843,28117
5849,95122
5850,28117
5856,85634
5861,142283
5864,134996
5865,85634
5866,146727
5867,10683
5869,88007
5870,86046
5878,89133
5888,86170
5901,90951
5903,133342
5912,146629
5915,88635
5920,85634
5949,28117
5950,89714
5952,28117
5954,28117
5959,86601
5964,146727
5969,146727
5974,28117
5977,150845
5988,84945
5990,146741
5992,90951
5995,127636
5999,89708
6003,150845
6005,150845
6008,134129
6009,85634
6011,142532
6012,86046
6021,150583
6022,90951
6024,146449
6026,146714
6028,90951
6032,89708
6033,89714
6036,129239
6045,28117
6047,136243
6051,18749
6060,150845
6065,89714
6073,150834
6083,28117
6088,146583
6089,85634
6094,146629
6095,150834
6096,142434
6101,150845
6112,27892
6114,90383
6121,85634
6137,89787
6145,86503
6154,142503
6156,142574
6163,146449
6169,146727
6176,89708
6182,95382
6191,146727
6207,28117
6210,142574
6213,95382
6228,28117
6229,85634
6243,146714
6246,134129
6247,89134
8848,130017
8849,355
8867,87639
8872,89169
8880,133242
8885,88030
8894,28100
8896,355
8897,133242
8905,86265
8919,133242
8920,355
8923,146263
8931,128059
8934,82974
8938,88239
8951,133242
8952,89959
8962,18632
8996,355
8998,130580
9006,87639
9013,19094
9021,28100
9022,88239
9034,18667
9035,130017
9042,133242
9044,133242
9045,88239
9048,132869
9051,300
9056,87639
9060,300
9081,133242
9082,85532
9099,18738
9109,19118
9112,18738
9118,142061
9133,146676
9134,133242
9172,89029
9175,18632
9180,18632
9186,89169
9191,28145
9200,300
9208,84526
9215,150289
9218,142096
9224,355
9239,142096
9243,87861
9266,86402
9267,142096
9270,150543
9277,142096
9282,150446
9286,150543
9296,85399
9304,135291
9306,129792
9319,87861
9322,90124
9332,135291
9342,142024
9350,136994
9371,87639
9386,90968
9392,300
9395,300
9407,88342
9408,135660
9409,300
9415,146263
9420,88939
9455,87639
9457,300
9470,87611
9472,87639
9476,142106
9902,85837
9947,84945
9956,142331
9957,89133
9958,142283
9974,136223
9992,142283
9993,84945
